waktu,username,tweet,tweet_cleaned,tweet_tokenization
6/15/2022 17:38,Lio_MDB,@WalersBostero ptm wally, ptm wally,"['', 'ptm', 'wally']"
6/15/2022 17:35,xylofhone,"@Askrlfess JANGAN DONG, AK DH SENENG BGT PTM 🥹💖", jangan dong  ak dh seneng bgt ptm  face holding back tears  sparkling heart ,"['', 'jangan', 'dong', 'ak', 'dh', 'seneng', 'bgt', 'ptm', 'face', 'holding', 'back', 'tears', 'sparkling', 'heart', '']"
6/15/2022 17:30,tobsteady,PTM BENJA,ptm benja,"['ptm', 'benja']"
6/15/2022 17:12,marthabakmnis,"@convomfs jan : galau takut gada temen yg enak (awal ptm 100%)
feb : ngebadut gua
mar : dpet ct toge 🥰
apr : banyak… https://t.co/St2rksZSft", jan   galau takut gada temen yg enak  awal ptm       feb   ngebadut gua mar   dpet ct toge  smiling face with hearts  apr   banyak  ,"['', 'jan', 'galau', 'takut', 'gada', 'temen', 'yg', 'enak', 'awal', 'ptm', 'feb', 'ngebadut', 'gua', 'mar', 'dpet', 'ct', 'toge', 'smiling', 'face', 'with', 'hearts', 'apr', 'banyak', '']"
6/15/2022 17:12,henjurae,"@convomfs jan : ptm, ke jogja
feb : full fitting
mar : kakak nikah
apr : tipes
may : stress
jun : tugas numpuk", jan   ptm  ke jogja feb   full fitting mar   kakak nikah apr   tipes may   stress jun   tugas numpuk,"['', 'jan', 'ptm', 'ke', 'jogja', 'feb', 'full', 'fitting', 'mar', 'kakak', 'nikah', 'apr', 'tipes', 'may', 'stress', 'jun', 'tugas', 'numpuk']"
6/15/2022 17:07,chi_aah,Ptm Tankhun 😭😭😭😭,ptm tankhun  loudly crying face  loudly crying face  loudly crying face  loudly crying face ,"['ptm', 'tankhun', 'loudly', 'crying', 'face', 'loudly', 'crying', 'face', 'loudly', 'crying', 'face', 'loudly', 'crying', 'face', '']"
6/15/2022 16:54,noritoraoshi,"jan : pertama kali ptm full sekelas dan mulai beraktivitas biasa
feb : kena covid lol
mar : sklh balik daring dan n… https://t.co/qO9spHzt2u",jan   pertama kali ptm full sekelas dan mulai beraktivitas biasa feb   kena covid lol mar   sklh balik daring dan n  ,"['jan', 'pertama', 'kali', 'ptm', 'full', 'sekelas', 'dan', 'mulai', 'beraktivitas', 'biasa', 'feb', 'kena', 'covid', 'lol', 'mar', 'sklh', 'balik', 'daring', 'dan', 'n', '']"
6/15/2022 16:48,krkwaiza,"@convomfs jan : nangisin ptm, kerkel, presentasi
feb : nangisin uprak
mar : ada pengumuman snm
apr : puasa
may : utbk
jun : pasang ortho", jan   nangisin ptm  kerkel  presentasi feb   nangisin uprak mar   ada pengumuman snm apr   puasa may   utbk jun   pasang ortho,"['', 'jan', 'nangisin', 'ptm', 'kerkel', 'presentasi', 'feb', 'nangisin', 'uprak', 'mar', 'ada', 'pengumuman', 'snm', 'apr', 'puasa', 'may', 'utbk', 'jun', 'pasang', 'ortho']"
6/15/2022 16:46,taebyloml,"@convomfs 💭 things u remember from 2022? 

jan : ptm tiba2 berhenti sampe 1 bulan lebih
feb : masuk ptm lagi + stre… https://t.co/9pT7zVJ09e",  thought balloon  things you remember from         jan   ptm tiba  berhenti sampe   bulan lebih feb   masuk ptm lagi   stre  ,"['', 'thought', 'balloon', 'things', 'you', 'remember', 'from', 'jan', 'ptm', 'tiba', 'berhenti', 'sampe', 'bulan', 'lebih', 'feb', 'masuk', 'ptm', 'lagi', 'stre', '']"
6/15/2022 16:45,lvseekrr,"@convomfs 💭 things u remember from 2022? 

jan : ptm 100%
feb : sibuk portofolio
mar : uprak, to, us
apr : bulan te… https://t.co/MwjHWWBZbu",  thought balloon  things you remember from         jan   ptm      feb   sibuk portofolio mar   uprak  to  us apr   bulan te  ,"['', 'thought', 'balloon', 'things', 'you', 'remember', 'from', 'jan', 'ptm', 'feb', 'sibuk', 'portofolio', 'mar', 'uprak', 'to', 'us', 'apr', 'bulan', 'te', '']"
6/15/2022 16:45,rkvnjj,jungkook hizo live ptm,jungkook hizo live ptm,"['jungkook', 'hizo', 'live', 'ptm']"
6/15/2022 16:44,_LouderBang13_,PTM AGAHAJAHA https://t.co/JjqqV7Av7R,ptm agahajaha ,"['ptm', 'agahajaha', '']"
6/15/2022 16:39,sugarylan,"@convomfs 💭 things u remember from 2022? 

jan : operasi kecil, tapi dapet bius total
feb : ngirim kado valentine k… https://t.co/nLnWuoDbz4",  thought balloon  things you remember from         jan   operasi kecil  tapi dapet bius total feb   ngirim kado valentine k  ,"['', 'thought', 'balloon', 'things', 'you', 'remember', 'from', 'jan', 'operasi', 'kecil', 'tapi', 'dapet', 'bius', 'total', 'feb', 'ngirim', 'kado', 'valentine', 'k', '']"
6/15/2022 16:35,liieee_,"@convomfs jan : ultah, mulai ptm 
feb : bisa fotbar sama crush, mulai capek sekolah, fto bts
mar : sibuk uh + persi… https://t.co/Kgv4oYTzHQ", jan   ultah  mulai ptm  feb   bisa fotbar sama crush  mulai capek sekolah  fto bts mar   sibuk uh   persi  ,"['', 'jan', 'ultah', 'mulai', 'ptm', 'feb', 'bisa', 'fotbar', 'sama', 'crush', 'mulai', 'capek', 'sekolah', 'fto', 'bts', 'mar', 'sibuk', 'uh', 'persi', '']"
6/15/2022 16:30,theboynotknow,ptm bikin aing jadi bebasss,ptm bikin aing jadi bebass,"['ptm', 'bikin', 'aing', 'jadi', 'bebass']"
6/15/2022 16:27,Luciab_o,Oe la ptm https://t.co/smbvNgqhD0,oe la ptm ,"['oe', 'la', 'ptm', '']"
