,waktu,username,tweet
0,2022-06-15 17:38:41,Lio_MDB,@WalersBostero ptm wally
1,2022-06-15 17:35:44,xylofhone,"@Askrlfess JANGAN DONG, AK DH SENENG BGT PTM 🥹💖"
2,2022-06-15 17:30:37,tobsteady,PTM BENJA
3,2022-06-15 17:12:18,marthabakmnis,"@convomfs jan : galau takut gada temen yg enak (awal ptm 100%)
feb : ngebadut gua
mar : dpet ct toge 🥰
apr : banyak… https://t.co/St2rksZSft"
4,2022-06-15 17:12:07,henjurae,"@convomfs jan : ptm, ke jogja
feb : full fitting
mar : kakak nikah
apr : tipes
may : stress
jun : tugas numpuk"
5,2022-06-15 17:07:52,chi_aah,Ptm Tankhun 😭😭😭😭
6,2022-06-15 16:54:12,noritoraoshi,"jan : pertama kali ptm full sekelas dan mulai beraktivitas biasa
feb : kena covid lol
mar : sklh balik daring dan n… https://t.co/qO9spHzt2u"
7,2022-06-15 16:48:38,krkwaiza,"@convomfs jan : nangisin ptm, kerkel, presentasi
feb : nangisin uprak
mar : ada pengumuman snm
apr : puasa
may : utbk
jun : pasang ortho"
8,2022-06-15 16:46:31,taebyloml,"@convomfs 💭 things u remember from 2022? 

jan : ptm tiba2 berhenti sampe 1 bulan lebih
feb : masuk ptm lagi + stre… https://t.co/9pT7zVJ09e"
9,2022-06-15 16:45:58,lvseekrr,"@convomfs 💭 things u remember from 2022? 

jan : ptm 100%
feb : sibuk portofolio
mar : uprak, to, us
apr : bulan te… https://t.co/MwjHWWBZbu"
10,2022-06-15 16:45:11,rkvnjj,jungkook hizo live ptm
11,2022-06-15 16:44:42,_LouderBang13_,PTM AGAHAJAHA https://t.co/JjqqV7Av7R
12,2022-06-15 16:39:27,sugarylan,"@convomfs 💭 things u remember from 2022? 

jan : operasi kecil, tapi dapet bius total
feb : ngirim kado valentine k… https://t.co/nLnWuoDbz4"
13,2022-06-15 16:35:44,liieee_,"@convomfs jan : ultah, mulai ptm 
feb : bisa fotbar sama crush, mulai capek sekolah, fto bts
mar : sibuk uh + persi… https://t.co/Kgv4oYTzHQ"
14,2022-06-15 16:30:41,theboynotknow,ptm bikin aing jadi bebasss
15,2022-06-15 16:27:48,Luciab_o,Oe la ptm https://t.co/smbvNgqhD0
16,2022-06-15 16:26:14,nasgormi,"@convomfs jan : pertama kali ptm stlh 2taun g skola
feb : daftar ltmpt &amp; antek2nya
mar : full ujian cape bos
apr :… https://t.co/z30M2oO50I"
17,2022-06-15 16:25:20,jaehyuncogann,"@convomfs jan : ptm 100%
feb : ada crush
mar : move on
apr : us
may : libur, pulang kampung
jun : lolos ppdb"
18,2022-06-15 16:24:28,cerem,"jan : tidur 2 jam doang terus diare &amp; muntah muntah 🤕
feb : nggak ada.. (?)
mar : uprak!! it was really fun apalagi… https://t.co/GE9GH6MGlH"
19,2022-06-15 16:24:12,lichaeryy,"Today's mails!!

Saking senengnya besok mau aku bawa ptm ke kampus😭🤣
wishnya smg ga dicopet ajaa🙏

Cahol sakura nya… https://t.co/hQkURwj3mF"
20,2022-06-15 16:22:53,taeshiic,"-pertama full ptm
-daring lagi 2 minggu
-maen pump it up smpe jompo
-bigbang cb + bukber skolah
-ktemu sm sodara yg… https://t.co/xyQBjovPsD"
